PERCENTAGE,WITH,THROUGHPUT
36,36,45.039279608249835
36,42,39.36219974965564
36,55,25.284532862480482
36,69,9.121162030583426
36,81,2.4657168839972465
42,36,29.760253016844747
42,42,27.17081704737887
42,55,19.62740599560102
42,69,8.26209552956091
42,81,2.398304305992361
55,36,15.313861829726548
55,42,14.598245930912334
55,55,12.100152250435158
55,69,6.547678801589246
55,81,2.2289101381965906
69,36,5.523757211582192
69,42,5.42799007003642
69,55,5.0414124335611215
69,69,3.725482833519202
69,81,1.7720115796451779
81,36,1.7833216018879932
81,42,1.773232834001061
81,55,1.7299226374825853
81,69,1.542934491463638
81,81,1.0593034456392407
