PERCENTAGE,THROUGHPUT
3,30.420077551020405
9,29.346759183673473
20,25.58694489795918
29,21.99506530612245
40,18.236204081632653
50,15.480389795918367
60,11.98481836734694
71,8.495465714285714
82,5.460215102040816
91,2.6189812244897963
97,0.9710669574468085

